YYYYMMDD,TIME24HR,MPL3115A2_barometric_pressure_in_pascals,MPL3115A2_temp_in_deg_C,TSL2561_light_in_lux,DHT_humidity_pcnt,DHT_temp_in_deg_C,liquid_flow_frequency,liquid_flow_pulses_cumulative_count,liquid_flow_cumulative_liters,FSR_Analog_reading,FSR_voltage_in_mV,FSR_resistance_in_ohms,FSR_conductance_in_microMhos,FSR_force_in_Newtons,chirp_soil_moisture_capacitance_higher_is_wetter
92627.50,26.81,6.00,30.20,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:08:28,92627.25,26.81,6.00,30.20,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:08:33,92627.25,26.81,6.00,30.10,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:08:38,92624.25,26.81,6.00,30.20,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:08:44,92623.75,26.81,6.00,30.30,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:08:49,92627.75,26.81,6.00,30.30,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:08:54,92630.50,26.81,6.00,30.30,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:00,92629.75,26.81,6.00,30.30,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:05,92628.25,26.81,6.00,30.20,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:10,92626.75,26.81,6.00,30.30,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:16,92629.00,26.81,6.00,30.40,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:21,92631.00,26.81,6.00,30.40,27.80,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:26,92628.75,26.81,6.00,30.60,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:32,92629.00,26.81,6.00,30.60,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:37,92633.00,26.81,6.00,30.60,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:42,92632.00,26.81,6.00,30.60,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:48,92629.75,26.81,6.00,30.60,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:53,92632.00,26.81,6.00,30.50,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:09:58,92631.50,26.81,6.00,30.50,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:04,92634.25,26.81,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:09,92630.75,26.81,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:14,92625.75,26.81,6.00,30.50,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:20,92628.50,26.81,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:25,92626.25,26.81,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:30,92628.00,26.81,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:36,92628.50,26.81,6.00,30.30,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:41,92622.75,26.81,6.00,30.30,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:46,92625.25,26.81,6.00,30.30,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:52,92629.00,26.81,6.00,30.30,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:10:57,92625.50,26.81,6.00,30.30,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:02,92623.50,26.81,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:08,92626.00,26.81,6.00,30.40,27.90,0.00,0,0.00,0,0,No_pressure,NA,NA,192
20141230,20:11:13,92623.75,26.81,6.00,30.80,28.00,0.00,0,0.00,0,0,No_pressure,NA,NA,192
